15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O,1,18.02,13.1,18.9,2.6,0,0,-1.0718E-06,3.5248E-08,3.575E-12,0,0,-22.968,3275.89,0.017637,0.000000693,-1.2933E-08,66.41843682,-7362.7,-9,0.006952,32.24,0.001924,0.00001055,-3.60E-09,647.3,0.344,0,0.007341,-0.00001013,1.80E-07,-9.10E-11,-0.3838,0.005254,-0.000006369
SO2,0,64.07,41.8,49,1,0,0,-1.36E-06,5.12E-08,-1.16E-11,0,0,-7.389,98.4,0.010945,-0.000070631,6.93E-08,68.418,-5578.8,-8.76152,0,23.85,0.06699,-0.00004961,1.33E-08,430.8,0.256,0,-0.008086,0.00006344,-1.38E-08,2.30E-12,0.8964,-0.003281,0.000002991
N2,0,28.01,18.5,31.2,1,0,0,-0.00000102,7.4785E-08,-5.9037E-11,3.23E-14,-6.73E-18,-12.577,148.76,0.074978,-8.49776E-04,2.537883E-06,164.9809115,-8432.77,-21.558,-8.44E-03,31.15,-0.01357,0.0000268,-1.17E-08,126.2,0.039,0,0.0003919,0.00009816,-5.07E-08,1.45E-10,0.26929,-0.001545,-0.000000405
NH3,0,17.03,20.7,28,1,0,0,-7.88E-07,3.67E-08,-4.51E-13,0,0,-16.042,1161.53,0.015613,-0.000006786,-3.16E-08,-149.006,-157.552,28.1001,-0.049227,27.31,0.02383,0.00001707,-1.19E-08,405.5,0.25,0,0.0003811,0.00005389,1.23E-07,-3.64E-11,1,068,-0.001577,-0.000001229
CO2,0,44.01,26.9,34,1,0,0,-1.8024E-06,6.5989E-08,-3.7108E-11,1.586E-14,-3.00E-18,-13.004,366.54,0.031678,-0.000082354,0,94.4914,-6789.04,-11.4519,-0.010454,19.8,0.07344,-0.00005602,1.72E-08,304.1,0.239,-19500,-0.007215,0.00008015,5.48E-09,-1.05E-11,0.407,-0.0008438,-9.63E-07
NaOH,1,39.997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH-,0,17.01,0,0,0,-1,197.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO3--,0,80.067,0,0,0,-2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na+,0,22.99,0,0,0,1,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO3--,0,60.01,0,0,0,-2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H+,0,1.01,0,0,0,1,349.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB,1,112.557,2.7,116.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.89,0.5631,-0.0004522,1.43E-07,632.4,0.249,9556,-0.006394,0.00002634,7.33E-08,-2.32E-11,0.1809,-0.0001604,-4.69E-08
EB,1,106.165,43.35,139.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.1,0.7072,-0.0004811,1.30E-07,617.2,0.302,9163,0.000603,0.000005863,0.000000214,-8.92E-11,0.2142,-0.000344,1.94E-07
